agent_code,agent_name
11000,bark beetles
11001,roundheaded pine beetle
11002,western pine beetle
11003,southern pine beetle
11004,Jeffrey pine beetle
11005,lodgepole pine beetle
11006,mountain pine beetle
11007,Douglas-fir beetle
11009,spruce beetle
11010,eastern larch beetle
11011,black turpentine beetle
11012,red turpentine beetle
11014,<Dryocoetes autographus>
11015,western balsam bark beetle
11017,ash bark beetles
11019,pinyon ips
11020,small southern pine engraver
11022,emarginate ips
11023,eastern fivespined ips
11027,California fivespined ips
11028,northern spruce engraver
11029,pine engraver
11030,ips engraver beetles
11035,cedar & cypress bark beetles
11036,western cedar bark beetle
11037,tip beetles
11038,<Pityophthorus pseudotsugae>
11039,twig beetles
11041,fir root bark beetle
11043,Douglas-fir pole beetle
11044,silver fir beetle
11047,hickory bark beetle
11048,true fir bark beetles
11049,Douglas-fir engraver
11050,fir engraver
11055,southern spruce engraver
11063,blue spruce engraver
11070,Mediterranean oak borer
11800,"other bark beetle, known (code pending)"
11900,unknown bark beetle
